verdict,city,surviving_row,renamed_from,course_it_sits_in,reason
MISFILE - the correctly filed row survives,bangalore,aloo_matar_masala,aloo_mutter_masala,veg_gravy,"the `veg_dry` row is a bare stub — no key_ingredient, no `is_rule_ready`. Renamed because the surviving row is the one correctly filed and the dropped one held the better spelling."
MISFILE - the correctly filed row survives,bangalore,chilli_baby_corn,,veg_dry,"the `veg_gravy` row is a bare stub tagged `north_indian` for an Indo-Chinese dish. Where this ontology means the gravy it says so — `chilli_paneer_gravy`, `chilli_gobi_gravy`, `baby_corn_chilli_milli_semi_gravy` — so a bare name is the dry."
MISFILE - the correctly filed row survives,bangalore,garlic_butter_vegetables,,veg_dry,vegetables tossed in garlic butter is not a rice dish. The `healthy_rice` row carries `is_rice` and nothing else.
MISFILE - the correctly filed row survives,bangalore,kadai_veg,,veg_gravy,"kadai veg is a gravy, and `kadhai` is separately the spelling SYNONYMS already folds to `kadai`."
MISFILE - the correctly filed row survives,bangalore,lasooni_chana_dal,,dal,"the dish is named for chana DAL — the split lentil — and both rows carry `key_ingredient: chana_dal`, so the other row's `primary_protein: chickpea` (the whole legume) contradicts its own ingredient column. The mirror image of `lauki_chana`, where the protein said `chickpea` and nothing said dal."
MISFILE - the correctly filed row survives,bangalore,lauki_chana,,veg_dry,"`leafy_dal` on the other row is wrong on its face — bottle gourd is not a leaf — so its sub_category is not independent evidence of a second dish. Both rows say `primary_protein: chickpea`, the whole legume rather than `chana_dal`, which makes this a sabzi."
MISFILE - the correctly filed row survives,bangalore,millet_curd_rice,,rice,"`is_curd_rice` is what routes a dish to the curd-rice station (`PoolBuilder` reads the flag, not the course), and the `healthy_rice` row carries neither it nor a sub_category."
MISFILE - the correctly filed row survives,bangalore,tandoori_achari_aloo,,veg_dry,"the `starter` row is a bare stub with no sub_category. The ontology's own tandoori-aloo sibling `tandoori_aloo_gobi_dry` is a `veg_dry` under this same `aloo_root_veg_dry`, and a row meant as a starter would carry `grilled_/_tandoor_starter`, which is what `tandoori_pineapple` has."
MISFILE - the correctly filed row survives,bangalore,veg_kolhapuri,,veg_gravy,veg kolhapuri is a spicy gravy; the `veg_dry` row is a bare stub carrying only the course mirror.
TWO DISHES - the form is named,bangalore,aloo_matar_dry,aloo_matar (veg_dry),veg_dry,"three rows: two coherent gravies (`aloo_curry` + `is_aloo_gravy`) and one coherent dry (`aloo_root_veg_dry` + `is_veg_dry`). The gravies fold and the dry is named, rather than the other way round, because aloo matar is a gravy on most menus and the ontology already spells the exception out — `aloo_methi_dry` sits beside `aloo_methi`."
MISFILE - the correctly filed row survives,chennai,sambar_vada,,starter,"all twelve other vada rows in Chennai are starters, the soaked ones included — `curd_vada`, `dahi_vada`, `rasa_vada`, `mor_kolambu_vada`. The `sambar` row also carries `key_ingredient: cabbage`, a word absent from its own name."
MISFILE - the correctly filed row survives,hyderabad,aloo_matar_masala,aloo_mutter_masala,veg_gravy,"the `veg_dry` row is a bare stub — no key_ingredient, no `is_rule_ready`. Renamed because the surviving row is the one correctly filed and the dropped one held the better spelling."
MISFILE - the correctly filed row survives,hyderabad,chilli_baby_corn,,veg_dry,"the `veg_gravy` row is a bare stub tagged `north_indian` for an Indo-Chinese dish. Where this ontology means the gravy it says so — `chilli_paneer_gravy`, `chilli_gobi_gravy`, `baby_corn_chilli_milli_semi_gravy` — so a bare name is the dry."
MISFILE - the correctly filed row survives,hyderabad,garlic_butter_vegetables,,veg_dry,vegetables tossed in garlic butter is not a rice dish. The `healthy_rice` row carries `is_rice` and nothing else.
MISFILE - the correctly filed row survives,hyderabad,kadai_veg,,veg_gravy,"kadai veg is a gravy, and `kadhai` is separately the spelling SYNONYMS already folds to `kadai`."
MISFILE - the correctly filed row survives,hyderabad,lasooni_chana_dal,,dal,"the dish is named for chana DAL — the split lentil — and both rows carry `key_ingredient: chana_dal`, so the other row's `primary_protein: chickpea` (the whole legume) contradicts its own ingredient column. The mirror image of `lauki_chana`, where the protein said `chickpea` and nothing said dal."
MISFILE - the correctly filed row survives,hyderabad,lauki_chana,,veg_dry,"`leafy_dal` on the other row is wrong on its face — bottle gourd is not a leaf — so its sub_category is not independent evidence of a second dish. Both rows say `primary_protein: chickpea`, the whole legume rather than `chana_dal`, which makes this a sabzi."
MISFILE - the correctly filed row survives,hyderabad,millet_curd_rice,,rice,"`is_curd_rice` is what routes a dish to the curd-rice station (`PoolBuilder` reads the flag, not the course), and the `healthy_rice` row carries neither it nor a sub_category."
